location_name,date_time,ice.approx,ice.vol,Area_2D,vol,cum_vol,LL,tempV,tempUse
Lake Hoare,2004-11-04,3.41,6607718.010500001,2213550.867,18390808.405048396,18390808.4050484,74.0031141868512,0.3171827199789121,0.3099217479674797
Lake Hoare,2004-12-07,3.421848404255319,6435056.322400001,2213550.867,18563470.0931484,18563470.0931484,74.03066666666666,0.36648918814660614,0.36429852941176477
Lake Hoare,2004-12-30,3.4301063829787237,6658664.685400001,2236083.63,18563470.0931484,18563470.0931484,74.06133333333332,0.42168402042868613,0.40179885057471265
Lake Hoare,2005-11-17,3.48,6607718.010500001,2213550.867,18019551.38988001,18390808.4050484,74.01518987341773,0.34034528974017364,0.3020353982300885
Lake Hoare,2005-12-11,3.4595820895522387,6658664.685400001,2236083.63,18192213.077980004,18563470.0931484,74.07594936708861,0.38537205057792034,0.340125550660793
Lake Hoare,2005-12-27,3.456238805970149,6658664.685400001,2236083.63,18192213.077980004,18563470.0931484,74.11645569620254,0.4351429893349899,0.3762378854625551
Lake Hoare,2006-11-17,3.3193406593406594,6536286.219700001,2253501.052,18911198.664048396,18911198.6640484,74.2,0.32905290571633866,0.2944557522123894
Lake Hoare,2006-12-15,3.31010989010989,6536286.219700001,2253501.052,18539941.64888,18911198.6640484,74.2,0.3808361947243589,0.3247292576419214
Lake Hoare,2007-11-17,3.215,6361264.941300001,2253501.052,18714962.927279998,19086219.9424484,74.21475409836066,0.40549744625583545,0.3391521739130434
Lake Hoare,2007-12-11,3.035,6058391.437100001,2266839.043,19244520.335780006,19615777.3509484,74.25409836065573,0.47346147591022086,0.3897060085836909
Lake Hoare,2008-11-18,3.3096774193548386,6587948.845600001,2266839.043,18714962.927279998,19086219.9424484,74.26521739130435,0.5063750774081425,0.417465
Lake Hoare,2008-12-17,3.0149999999999997,6108185.072600001,2277777.751,19422504.475380003,19793761.490548402,74.35978260869565,0.5887200433951677,0.47970726495726496
Lake Hoare,2009-11-13,3.22,6566610.3534,2296711.833,19422504.475380003,19793761.490548402,74.59599999999999,0.4583882518441613,0.3925641025641025
Lake Hoare,2009-12-11,3.045,6208597.3917000005,2296711.833,19780517.437080007,20151774.452248402,74.59526627218935,0.519510435456158,0.4359173728813559
Lake Hoare,2010-11-15,3.4070689655172415,6692181.132200001,2287540.975,19067262.513280008,19438519.5284484,74.53777777777778,0.3998549268340658,0.3441002155172413
Lake Hoare,2010-12-12,3.3,6744594.493000001,2296711.833,19244520.335780006,19615777.3509484,74.59777777777778,0.4719753460879054,0.39718347639484974
Lake Hoare,2011-11-13,3.3925806451612903,6797173.2899,2305629.365,19422504.475380003,19793761.490548402,74.7247191011236,0.3751568889993607,0.3206805555555555
Lake Hoare,2011-12-12,3.285,6670594.159399999,2314338.312,19780517.437080007,20151774.452248402,74.78988764044944,0.3962363004392427,0.3362457627118644
Lake Hoare,2012-12-08,3.4153333333333333,6849938.168899999,2314338.312,19601173.427580006,19972430.4427484,74.84747474747475,0.41672620272478317,0.341218085106383
Lake Hoare,2013-12-11,3.204395280235988,6775331.5485999985,2331491.173,20141229.323280003,20512486.3384484,74.95652173913044,0.30210709807426045,0.27241491596638656
Lake Hoare,2014-12-14,2.8982500000000004,6096157.884799998,2339743.965,21054377.383580003,21425634.398748405,75.14651162790697,0.652107262103596,0.5169753086419753
Lake Hoare,2015-12-13,3.215875370919881,6880740.326599999,2347873.774,20504582.319180004,20875839.334348403,75.19397590361446,0.5458931785250603,0.4854312499999999
Lake Hoare,2016-12-15,3.5073809523809523,7424784.557999999,2347873.774,19960538.087780006,20331795.1029484,75.2,0.4712890189957376,0.4258322784810126
